"","par","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","treatment"
"1","mix[1]",0.827952790418934,0.000669003135798089,0.0527241238367848,0.712932817612757,0.795421837947663,0.831519150929416,0.866657177276457,0.918627801463491,6211.01296753255,0.999324480531576,1
"2","mix[2]",0.0202120288595366,0.000273399019303661,0.0194094292229138,0.000545042921731541,0.006168618570736,0.0142445536161908,0.0283346739425314,0.0716443102910033,5040.01261626196,0.999953263040636,1
"3","mix[3]",0.0205528828912274,0.000270771074839824,0.0198929710453735,0.000599100625363103,0.00627702453181514,0.0146829154913048,0.0285857876097056,0.0741974999297168,5397.52625056421,0.999537407420626,1
"4","mix[4]",0.0911012381459937,0.000589261089759189,0.0417333228412585,0.0274980569834319,0.0607583206346444,0.0859727502445198,0.114798907354344,0.184716463944072,5015.91768461448,0.999873460717981,1
"5","mix[5]",0.0199367848092765,0.000300661441116786,0.0194479795850248,0.000500306856796215,0.00587983203486002,0.0141125752403331,0.0276482786089271,0.0708631616479597,4184.01767355572,1.000165761067,1
"6","mix[6]",0.0202442748750321,0.0002997157943348,0.0195690746871858,0.000574639749747515,0.00583982788423424,0.0139680422478768,0.0281812128611207,0.0731558472977794,4263.0587894292,0.999596483299041,1
"7","gamma",0.0607105936100587,0.000117806761855534,0.00833705882693032,0.0455915742816672,0.0550256269626372,0.0603964240537042,0.0658300252152757,0.078689474179821,5008.24186621935,0.999269346741098,1
"8","lp__",-227.34294054482,0.0459097225886686,1.83256551334041,-231.617065377394,-228.389004250463,-227.013000691641,-225.967276283668,-224.723408393392,1593.34448598321,1.00047910852098,1
"9","mix[1]",0.71602607657536,0.000823190593670051,0.0607135757552716,0.589415865815341,0.676408531214741,0.719013555838545,0.758167415320245,0.827578693760778,5439.64834260391,0.999316193021066,2
"10","mix[2]",0.0837783015381059,0.000557631387208667,0.0398065038564147,0.0210230860402107,0.0548319882975114,0.0784626848186435,0.108003452705435,0.174067641660278,5095.81496844139,0.999366297100412,2
"11","mix[3]",0.0510543014863812,0.000437515905800053,0.0321493450607448,0.00673832177895458,0.0270456959139057,0.045397309623563,0.0684491219476128,0.128746675732233,5399.53756995624,0.999420711844911,2
"12","mix[4]",0.106192659972693,0.000588331994627266,0.0426126741823669,0.037471270034211,0.0748666379012184,0.101017669608598,0.132783585895161,0.201867674023851,5246.05265475779,0.999621336736764,2
"13","mix[5]",0.0211820019613573,0.000289672784141798,0.0199987653270797,0.000559829124118572,0.0066666900569435,0.0152806986045343,0.029852654579563,0.0741442996310004,4766.4054395538,0.999801124273408,2
"14","mix[6]",0.021766658466102,0.000320074230392723,0.021197228706389,0.000600605452503607,0.00645395690460403,0.0155932341645156,0.0305901678859549,0.0796428673920448,4385.88006523736,1.00064219908003,2
"15","gamma",0.137054266361777,0.000129147912330247,0.00980707453544141,0.1181657889544,0.130418660992054,0.136965770191751,0.143523548566571,0.156812940628414,5766.39212176646,1.00006208688862,2
"16","lp__",-548.095827555001,0.0463966764972669,1.84602860405833,-552.48653965214,-549.106920675441,-547.765654778423,-546.722055382853,-545.523705256177,1583.08089560102,1.00021429124266,2
"17","mix[1]",0.490110491613423,0.000797205799377633,0.0678208852538484,0.357776115788346,0.44309174626435,0.490713569570338,0.53762412338516,0.62228523669704,7237.45722142336,0.9994143826709,3
"18","mix[2]",0.0838879812299214,0.000486348219767352,0.039364918073352,0.023861212125543,0.0555637113332878,0.0775561671449437,0.107405666684589,0.173859751382676,6551.24804036657,0.999139968667506,3
"19","mix[3]",0.0346013053280975,0.000381954756454046,0.0315777375582557,0.00117119509107986,0.0113846923730294,0.0257801109531898,0.0480462684808128,0.117470300599755,6834.99461502706,0.999982107977175,3
"20","mix[4]",0.331923690105232,0.000794132692827645,0.06970586971793,0.203390420692648,0.282114366118638,0.330363951910516,0.378365235471297,0.469536266161479,7704.64352319579,0.999558094937426,3
"21","mix[5]",0.0366578657346128,0.000384534099896757,0.0268014583014223,0.00264180903197497,0.0166248459833502,0.0307064526472833,0.0500680622163595,0.102889338416736,4857.88392548995,0.99927687847399,3
"22","mix[6]",0.0228186659887131,0.000338082657593876,0.0228743677598939,0.000382181006719973,0.00613828075135253,0.0156342846433203,0.0321017716802092,0.0821285320433907,4577.75358125794,0.999257596122944,3
"23","gamma",0.0889184576641117,9.98689689572078e-05,0.00752749084654092,0.0745794688309006,0.0837163637285302,0.0888441022025657,0.0939216169706072,0.104005648515123,5681.190336245,0.999416204047583,3
"24","lp__",-478.707169628885,0.0456390354394692,1.85995401195862,-483.064330188103,-479.756236382132,-478.356134385993,-477.311083560032,-476.112630370032,1660.85415789811,1.00099725844602,3
"25","mix[1]",0.589910557524462,0.000955992246938347,0.0714960686159954,0.446088244108446,0.541647106282249,0.592425860836914,0.638539866475484,0.729929562892496,5593.13862138768,0.999137767695265,4
